Wavelength_nm	 Transmittance
260.63	 -0.0927678225328
260.97	 -0.238434531409
261.32	 -0.368611327544
261.66	 -0.474934972605
262.0	 -0.54869384834
262.35	 -0.582517590826
262.69	 -0.572283183684
263.03	 -0.518485919911
263.38	 -0.426354055341
263.72	 -0.304376679209
264.06	 -0.162060585923
264.41	 -0.00827880740391
264.75	 0.149258662477
265.09	 0.303936805392
265.44	 0.450169561646
265.78	 0.583430821242
266.12	 0.700296135914
266.47	 0.798483211597
266.81	 0.876841617895
267.15	 0.935257741372
267.5	 0.974605807005
267.84	 0.996772878248
268.18	 1.00438941983
268.53	 1.00000050415
268.87	 0.985110059641
269.21	 0.959716797351
269.56	 0.922336896278
269.9	 0.870158949983
270.24	 0.799370517459
270.59	 0.705977108112
270.93	 0.587110933724
271.27	 0.442512316233
271.62	 0.27584846765
271.96	 0.0953781778557
272.3	 -0.08664461663
272.65	 -0.255863370836
272.99	 -0.398108038292
273.33	 -0.501024623875
273.68	 -0.554885210388
274.02	 -0.553227563472
274.36	 -0.493816632657
274.71	 -0.379817969658
275.05	 -0.220716389671
275.39	 -0.0323736502032
275.74	 0.164250600283
276.08	 0.345575480254
276.42	 0.488375728019
276.77	 0.572744123335
277.11	 0.584978743947
277.45	 0.520224319429
277.8	 0.38415681693
278.14	 0.192808278414
278.48	 -0.0298083938534
278.83	 -0.25580253642
279.17	 -0.458362152543
279.51	 -0.616431875507
279.85	 -0.717679141524
280.2	 -0.758833503798
280.54	 -0.743948386188
280.88	 -0.682057132378
281.23	 -0.585222317989
281.57	 -0.467039910997
281.91	 -0.341251743722
282.26	 -0.220154369115
282.6	 -0.112772131836
282.94	 -0.0232694931867
283.28	 0.049774377314
283.63	 0.113059678063
283.97	 0.177400918976
284.31	 0.255927099044
284.66	 0.362006530571
285.0	 0.50727109274
285.34	 0.699931823981
285.69	 0.943570855049
286.03	 1.23671875207
286.37	 1.57349007642
286.71	 1.94526338483
287.06	 2.34286314441
287.4	 2.75832327758
